Program TL1 green;Program TL1 yellow;Program TL1 red;Program TL2 green;Program TL2 yellow;Program TL2 red;Program TL3 green;Program TL3 yellow;Program TL3 red;Highway Flow [veh/h];Ramp1 Flow [veh/h];Ramp2 Flow [veh/h];Ramp3 Flow [veh/h];hwLoop10MeanSpeed;hwLoop10VehicleNum;hwLoop11MeanSpeed;hwLoop11VehicleNum;hwLoop20MeanSpeed;hwLoop20VehicleNum;hwLoop21MeanSpeed;hwLoop21VehicleNum;hwLoop30MeanSpeed;hwLoop30VehicleNum;hwLoop31MeanSpeed;hwLoop31VehicleNum;hwLoop40MeanSpeed;hwLoop40VehicleNum;hwLoop41MeanSpeed;hwLoop41VehicleNum;rampLoop1MeanSpeed;rampLoop1VehicleNum;rampLoop2MeanSpeed;rampLoop2VehicleNum;rampLoop3MeanSpeed;rampLoop3VehicleNum;fill
60;5;25;45;5;40;45;5;40;400;200;200;200;35.108512642081514;318;39.53550999999951;72;31.843435002221952;468;38.18124594104837;108;32.17416272912419;438;34.55980476188922;300;30.55249453467427;480;36.80153362527478;402;12.151208514416048;192;12.207352426899897;192;11.883014898347312;192;,,
45;5;10;45;5;10;30;5;25;400;200;200;200;35.83897175438602;342;38.865003555554615;54;32.016273330447774;492;36.81570141604728;108;32.226694199014155;540;34.22777124066223;246;32.00888570721893;570;35.70588313701276;426;9.310424344812835;204;9.33462899963365;204;9.5267523102109;204;,,
60;5;25;30;5;25;30;5;25;400;200;200;200;35.403738190627855;306;39.16035781249933;96;31.50612075511484;432;37.8541536984843;162;31.658283044363753;510;36.22763743476635;300;30.758588963304778;546;36.74992221813277;450;11.689230825069368;198;11.87893134411526;198;8.020504177895832;198;,,
30;5;25;60;5;25;60;5;25;400;240;200;280;35.069199837036926;294;38.93919905556326;108;30.409239547374384;432;36.4875784613613;210;31.0135912108409;486;36.17122663595598;342;29.678282423306623;588;36.42123247558572;510;10.51702638197885;240;8.423485426455937;198;7.909390059702313;276;,,
45;5;40;45;5;40;45;5;10;400;240;200;280;35.130814236674134;300;38.8270173749891;96;31.05152461466068;420;35.267263308282956;222;31.230746764608238;546;37.860318091874746;294;28.911139871586435;594;36.5045555059952;534;10.245028452076232;240;9.1628103202233;204;9.071524614542577;288;,,
60;5;25;45;5;10;45;5;10;400;240;200;280;35.313694066393346;312;39.14556046666641;90;30.67742848467317;468;36.85722984657961;156;31.029021184998033;546;37.85003563034598;294;29.412131036555728;600;36.80420842062524;522;8.487342520667928;234;9.167768997827835;198;11.060684845636748;276;,,
30;5;25;45;5;40;30;5;25;800;280;360;160;34.83197747227727;426;37.34261074743976;360;30.67025840602908;612;37.594877168855675;456;29.007294929003802;708;36.61855192191743;684;31.004832477175025;648;36.3397010567593;864;9.479607122435622;288;10.055657892216036;360;11.753592157486034;162;,,
45;5;40;60;5;25;60;5;25;800;280;360;160;34.820455652486665;420;37.14773025396961;378;30.49145342520501;588;36.81982142667527;492;29.327720124474045;756;35.58489295673186;666;30.388317606776447;684;35.447607353623155;894;9.579128216671505;276;8.627850610592832;366;8.305518432174964;162;,,
45;5;10;60;5;25;30;5;25;800;280;360;160;33.94569186475764;456;37.2845742899884;342;30.97116464057647;636;37.6466077635814;426;29.559711410978164;738;36.90912828025088;696;30.774375232025918;726;36.225035106631125;894;8.483038211345871;270;10.109796949025842;354;10.998443510930043;162;,,
30;5;25;30;5;25;30;5;25;800;240;160;280;32.86220881740008;402;36.98773144688964;396;29.99152571206466;552;36.582169585218026;504;30.93710463589614;588;35.63819536169958;642;28.53647442779965;714;34.94087967480909;786;11.144962634608063;258;9.95766562213509;174;7.521873404501476;276;,,
